Date,Price,Open,High,Low,Vol.,Change %
2019-02-20,1726.18,1712.83,1727.25,1711.44,185.23M,1.15%
2019-02-19,1706.56,1694.03,1710.14,1693.37,159.82M,0.82%
2019-02-18,1692.74,1693.92,1695.61,1690.19,94.07M,0.23%
2019-02-15,1688.83,1692.29,1693.85,1687.12,116.84M,-0.01%
2019-02-14,1689.06,1684.49,1689.06,1682.81,100.89M,0.22%
2019-02-13,1685.30,1687.73,1688.46,1683.61,104.80M,-0.13%
2019-02-12,1687.41,1692.22,1692.22,1683.73,113.23M,-0.07%
2019-02-11,1688.56,1688.70,1689.74,1681.64,88.50M,0.12%
2019-02-08,1686.52,1688.51,1690.43,1683.71,115.54M,-0.41%
2019-02-07,1693.39,1688.00,1693.48,1685.66,82.45M,0.58%
2019-02-04,1683.61,1698.97,1699.66,1683.61,57.22M,0.00%
2019-01-31,1683.53,1694.86,1695.40,1683.53,188.93M,-0.03%
2019-01-30,1684.11,1689.69,1691.23,1681.57,114.62M,-0.37%
2019-01-29,1690.41,1694.71,1694.71,1688.48,150.21M,-0.42%
2019-01-28,1697.50,1705.41,1705.50,1693.63,117.68M,-0.21%
2019-01-25,1701.03,1699.59,1701.03,1695.38,134.07M,0.44%
2019-01-24,1693.59,1689.30,1694.59,1686.87,158.05M,0.32%
2019-01-23,1688.14,1690.76,1691.23,1680.84,131.85M,-0.82%
2019-01-22,1702.12,1698.88,1702.12,1688.19,132.80M,0.59%
2019-01-18,1692.22,1682.08,1692.22,1681.89,137.84M,0.55%
2019-01-17,1682.97,1680.21,1684.24,1674.36,144.49M,0.59%
2019-01-16,1673.08,1675.78,1676.34,1668.43,115.06M,-0.38%
2019-01-15,1679.42,1674.83,1679.42,1672.55,140.31M,0.19%
2019-01-14,1676.16,1683.05,1684.19,1672.27,90.51M,-0.42%
2019-01-11,1683.22,1684.99,1684.99,1676.75,143.69M,0.26%
2019-01-10,1678.88,1677.38,1681.23,1669.28,161.03M,0.66%
2019-01-09,1667.83,1679.06,1684.08,1667.83,181.73M,-0.29%
2019-01-08,1672.76,1685.72,1686.37,1670.67,181.52M,-0.38%
2019-01-07,1679.17,1674.92,1687.13,1673.03,149.14M,0.56%
2019-01-04,1669.78,1672.58,1676.55,1668.15,66.88M,-0.36%
